season,status,operator,route,flight_no,flight_date,seats,price_seat,net_value,taxes_value,pay_date,taxes_pay_date
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CLJ HRG CLJ,A2 4208/4209,2026-03-29,148.0,251.0,37148.0,7522.84,2026-03-19,2026-04-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR HRG TSR,A2 4408/4409,2026-03-29,118.0,286.9,33854.2,5389.06,2026-03-19,2026-04-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,4406/4407,2026-04-01,148.0,256.0,37888.0,7812.92,2026-03-22,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CRA HRG CRA,A2 4202/4203,2026-04-01,118.0,269.51,31802.18,4244.46,2026-03-22,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP AYT OTP,A2 4260/4261,2026-04-03,100.0,161.58,16158.0,4056.0,2026-03-24,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP MIR OTP ,A2 4456/4457,2026-04-03,130.0,221.54,28800.2,6536.4,2026-03-24,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4204/4205,2026-04-04,180.0,256.0,46080.0,9502.2,2026-03-25,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4206/4207,2026-04-04,160.0,240.19,38430.4,8446.4,2026-03-25,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CLJ HRG CLJ,A2 4208/4209,2026-04-04,70.0,259.0,18130.0,3378.9,2026-03-25,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR-CLJ-AYT-OTP,A2 4298/4299,2026-04-04,118.0,259.0,30562.0,4252.72,2026-03-25,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,GHV HRG GHV,A2 4100/4101,2026-04-05,128.0,266.0,34048.0,4578.56,2026-03-26,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR HRG TSR,A2 4408/4409,2026-04-05,118.0,286.9,33854.2,5389.06,2026-03-26,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP SSH OTP,A2 4404/4405,2026-04-06,160.0,239.33333333333334,38293.33,9160.0,2026-03-27,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR-CLJ-SSH-TSR,A2 4700/4701,2026-04-06,160.0,253.0,40480.0,8020.8,2026-03-27,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4104/4105,2026-04-06,100.0,256.0,25600.0,5279.0,2026-03-27,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CRA HRG CRA,A2 4202/4203,2026-04-08,150.0,254.89,38233.5,5395.5,2026-03-29,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4406/4407,2026-04-09,150.0,240.19,72057.0,15837.0,2026-03-30,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,IAS HRG IAS,A2 4212/4213,2026-04-09,118.0,296.54,52487.58,8101.29,2026-03-30,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP AYT OTP,A2 4260/4261,2026-04-10,100.0,161.58,16158.0,4056.0,2026-03-31,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP MIR OTP ,A2 4456/4457,2026-04-10,130.0,221.54,28800.2,6536.4,2026-03-31,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4204/4205,2026-04-11,180.0,256.0,46080.0,9502.2,2026-04-01,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4206/4207,2026-04-11,160.0,240.19,38430.4,8446.4,2026-04-01,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CLJ HRG CLJ,A2 4208/4209,2026-04-11,70.0,259.0,18130.0,3378.9,2026-04-01,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HER OTP,A2 4132/4133,2026-04-11,107.0,195.16,20882.12,3083.74,2026-04-01,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR-CLJ-AYT-CLJ-TSR,A2 4298 / 4299,2026-04-11,107.0,259.0,27713.0,3856.28,2026-04-01,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP RHO OTP,A2 4126/4127,2026-04-11,118.0,184.65,21788.7,5232.12,2026-04-01,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,GHV HRG GHV,A2 4100/4101,2026-04-12,128.0,266.0,34048.0,4578.56,2026-04-02,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR HRG TSR,A2 4408/4409,2026-04-12,118.0,286.9,33854.2,5389.06,2026-04-02,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP SSH OTP,A2 4404/4405,2026-04-13,160.0,239.33333333333334,38293.33,9160.0,2026-04-03,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR-CLJ-SSH-CLJ-TSR,A2 4700/4701,2026-04-13,160.0,253.0,40480.0,8020.8,2026-04-03,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4104/4105,2026-04-13,100.0,256.0,25600.0,5279.0,2026-04-03,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CRA HRG CRA,A2 4202/4203,2026-04-15,150.0,254.89,38233.5,5395.5,2026-04-05,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,IAS HRG IAS,A2 4212/4213,2026-04-16,118.0,296.54,52487.58,8101.29,2026-04-06,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP AYT OTP,A2 4260/4261,2026-04-17,100.0,161.58,16158.0,4056.0,2026-04-07,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP MIR OTP ,A2 4456/4457,2026-04-17,130.0,221.54,28800.2,6536.4,2026-04-07,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4204/4205,2026-04-18,180.0,256.0,46080.0,9502.2,2026-04-08,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HRG OTP,A2 4206/4207,2026-04-18,160.0,240.19,38430.4,8446.4,2026-04-08,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,CLJ HRG CLJ,A2 4208/4209,2026-04-18,70.0,259.0,18130.0,3378.9,2026-04-08,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,OTP HER OTP,A2 4132/4133,2026-04-18,107.0,195.16,20882.12,3083.74,2026-04-08,2026-05-05
S26,semnat (AA30/ADD7 11.09.2026),ANIMA WINGS,TSR-CLJ-AYT-CLJ-TSR,A2 4298 / 4299,2026-04-18,107.0,259.0,27713.0,3856.28,2026-04-08,2026-05-05
